x,y,z
-0.3236427498970297,1.7119332356301673,22.77597737415083
0.19352664530193753,1.6548258117193229,21.022642138645693
0.5763506416021404,1.697912905765896,19.425283100921632
0.8849145843604228,1.8517290411498846,17.96953750314946
1.170180223734884,2.123058937410703,16.646802083109485
1.468624864651259,2.527427347942619,15.455329562398553
1.8160360606057258,3.0866264202148352,14.39966988302462
2.2427904073008635,3.8374303921749218,13.494477673704694
2.784481243561195,4.826960929319153,12.770377407215557
3.4830705403701643,6.11233418390766,12.281860542543638
4.380796597924455,7.766478313330564,12.12151520277805
5.528898984081382,9.836337678996651,12.445572351515727
6.969896074029187,12.311044056547686,13.478185214964487
8.732882883188392,15.090910307593646,15.562474037070267
10.755075918009698,17.761778206518137,18.99853421751796
12.843826174429731,19.542727972399135,23.94258333001235
14.608219127895262,19.38429659134706,29.89584831673376
15.53026542607828,16.625762198232398,35.54352555393505
15.187356052206729,11.748321914559227,39.174718976898
13.565102632208111,6.510741595960029,40.02637480417739
11.108513418264367,2.1539957567110775,38.47394112332035
8.384515751504775,-0.5503403686434867,35.696109028448916
5.868129656820582,-1.8467400760489625,32.691907758282646
3.797677321925214,-2.2645476246734844,29.88970777960501
2.221671232970157,-2.261347554923469,27.39708521657737
1.0779665701443455,-2.117067536330731,25.187744781687492
0.2688399978443683,-1.9852395700481036,23.212764888671977
-0.30631403451155126,-1.93500379617651,21.430181455752617
-0.7341066236580891,-1.9954577221489997,19.812587026358344
-1.0831530330409724,-2.1791095969189986,18.344299362492528
-1.4075025959030818,-2.4963030876638483,17.01787703634554
-1.7498854694507404,-2.96339650568144,15.833511780838101
-2.147331720228303,-3.606654545707391,14.800477341525289
-2.637819959523383,-4.462055585891696,13.940073244931495
-3.2559138932742058,-5.5821504381668134,13.293919916011781
-4.046732366467978,-7.0190959694339154,12.934194943592516
-5.056898699617279,-8.830716994072954,12.978399428001461
-6.32837909337208,-11.0497644910009,13.610537559456047
-7.890366197856505,-13.594865103735938,15.09099379784572
-9.724496839520354,-16.224416827820725,17.720696676153842
-11.722667615085326,-18.370342324838013,21.763285035950105
-13.60129198825731,-19.18680940588698,27.029870415973704
-14.91993524124074,-17.80534102089538,32.67479315969112
-15.20712251694505,-14.159647219622322,37.159040213422074
-14.265471697651778,-9.166192835688337,39.29662562803041
-12.284210566799025,-4.451704287975135,38.89841582187848
-9.75743633857999,-1.0682200426608097,36.762063311941176
-7.218825592430436,0.8232149738959986,33.94449781629014
-5.008641800062067,1.6186552751146275,31.110417687391948
-3.2572971568953704,1.7971597811933857,28.513634539228434
-1.9566162170607764,1.7003690045457485,26.19118817048422
-1.0309379754407142,1.529678960497462,24.108760995595823
-0.38932803547653094,1.3887020629231062,22.225982597194452
0.06066243807656729,1.3198466245940244,20.511204646280078
0.38729883244805785,1.339280522259683,18.94320255867387
0.6474319418535351,1.451410956164427,17.5076893212881
0.8820988428329182,1.6620905280965268,16.19599561776647
1.1255444138748658,1.9811504317062782,15.00336821590814
1.4046789024489041,2.4289151652837506,13.930143031668427
1.7492168106020427,3.033356800561571,12.98301350483849
2.1865942839368957,3.8387568478545813,12.178993854351711
2.7524975805026592,4.900295456487454,11.55313511387801
3.4911112861350144,6.283151169300776,11.167887869675365
